City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,flying fish cove,-10.4217,105.6791,299.88,77,100,7.22,CX,1700718142
247,hawaiian paradise park,19.5933,-154.9731,295.95,95,40,0.0,US,1700718152
248,lihue,21.9789,-159.3672,298.73,91,100,4.12,US,1700718152
249,minas de marcona,-15.2119,-75.1103,287.6,87,18,3.79,PE,1700718152
250,callao,-12.0667,-77.15,294.66,83,20,3.6,PE,1700718152
251,klaksvik,62.2266,-6.589,276.66,63,68,19.08,FO,1700717997
252,biryusinsk,55.9634,97.8235,260.06,65,9,3.32,RU,1700718152
253,verkhotur'ye,58.8627,60.8054,272.15,97,100,3.45,RU,1700718153
254,alamos,27.0167,-108.9333,289.43,28,0,1.94,MX,1700718153
255,sol'-iletsk,51.1631,54.9918,266.02,80,100,8.41,RU,1700718153
256,mae hong son,19.3003,97.9685,301.23,69,75,0.51,TH,1700718153
257,port macquarie,-31.4333,152.9167,295.31,76,100,3.69,AU,1700718153
258,harstad,68.799,16.5293,273.81,96,100,1.79,NO,1700718153
259,puerto deseado,-47.7503,-65.8938,281.66,57,100,10.17,AR,1700718153
260,plesetsk,62.708,40.2916,258.42,98,94,2.77,RU,1700718153
261,yurty,56.0498,97.6348,259.85,65,9,3.33,RU,1700718153
262,bruay-sur-l'escaut,50.3992,3.5438,282.77,94,100,3.58,FR,1700718153
263,iskateley,67.6803,53.1512,261.88,96,100,1.95,RU,1700718153
264,vorkuta,67.5,64.0,260.59,88,100,2.47,RU,1700718084
265,kavaratti,10.5669,72.642,301.82,68,100,0.95,IN,1700718154
266,elliot lake,46.3834,-82.6331,272.64,81,100,1.43,CA,1700718154
267,vernon,50.2581,-119.2691,274.68,86,29,0.89,CA,1700718154
268,kentau,43.5206,68.5094,279.48,65,93,11.03,KZ,1700718154
269,chonchi,-42.6128,-73.8092,280.71,98,31,0.97,CL,1700718154
270,colonia,50.9333,6.95,282.49,87,100,2.06,DE,1700717992
271,hotan,37.0997,79.9269,280.96,18,0,4.26,CN,1700718154
272,belabo,4.9333,13.3,293.6,93,100,1.36,CM,1700717989
273,alexandria,31.2156,29.9553,286.45,52,14,1.31,EG,1700718154
274,luderitz,-26.6481,15.1594,294.41,47,2,6.02,NA,1700718155
275,berezovo,63.9381,65.0419,263.58,94,100,5.12,RU,1700718155
276,san ignacio,17.1561,-89.0714,296.23,100,75,3.09,BZ,1700718155
277,nantucket,41.2835,-70.0995,280.93,98,100,5.14,US,1700718155
278,sokoni,-6.4333,39.55,299.93,80,74,1.35,TZ,1700718155
279,aykhal,66.0,111.5,251.11,99,99,2.25,RU,1700718155
280,nishinoomote,30.7333,131.0,296.46,64,40,3.6,JP,1700718155
281,quitilipi,-26.8691,-60.2168,293.33,91,48,2.93,AR,1700718155
282,nyurba,63.2842,118.3319,243.13,98,65,1.94,RU,1700718155
283,sanaur,30.3025,76.4553,297.32,19,0,2.65,IN,1700718155
284,brownfield,33.1812,-102.2744,278.68,30,0,4.22,US,1700718156
285,dawei,14.0833,98.2,305.17,46,74,1.33,MM,1700718156
286,vila velha,-20.3297,-40.2925,297.12,82,20,3.6,BR,1700717896
287,port elizabeth,-33.918,25.5701,296.31,60,0,2.57,ZA,1700718156
288,pitimbu,-7.4706,-34.8086,299.48,67,32,5.46,BR,1700718156
289,vilyuysk,63.7553,121.6247,240.96,98,92,2.52,RU,1700718156
290,remire-montjoly,4.9167,-52.2667,298.17,94,20,0.51,GF,1700718156
291,beltran,-27.8291,-64.061,293.29,86,96,2.11,AR,1700718156
292,kerikeri,-35.2268,173.9474,292.54,88,80,0.89,NZ,1700718156
293,la'ie,21.6477,-157.9253,299.13,86,37,1.79,US,1700718156
294,meknes,33.9776,-5.525,280.64,81,0,3.6,MA,1700718156
295,cabugao,17.7931,120.4578,303.09,70,42,3.87,PH,1700718157
296,tamanrasset,22.785,5.5228,280.1,29,0,1.54,DZ,1700718157
297,novaya igirma,57.1334,103.9112,257.97,80,100,2.31,RU,1700718157
298,greymouth,-42.4667,171.2,286.32,90,100,6.1,NZ,1700718157
299,kudahuvadhoo,2.6708,72.8944,300.6,79,100,3.9,MV,1700718157
300,zima,53.9202,102.0442,258.42,69,26,1.05,RU,1700718157
301,ayr,55.4627,-4.6339,286.1,92,100,12.29,GB,1700718157
302,doume,4.2333,13.45,293.24,95,99,1.64,CM,1700718157
303,rawson,-43.3002,-65.1023,286.69,45,47,11.65,AR,1700718157
304,hasaki,35.7333,140.8333,295.53,68,100,9.42,JP,1700718157
305,sainte-anne-des-monts,49.124,-66.4924,274.08,100,100,1.54,CA,1700718158
306,porto novo,6.4965,2.6036,297.98,90,74,2.2,BJ,1700717986
307,la serena,-29.9078,-71.2542,286.88,94,0,1.54,CL,1700718158
308,north bend,43.4065,-124.2243,284.41,87,100,3.6,US,1700718158
309,rongelap,11.1635,166.8941,301.04,74,21,7.96,MH,1700718158
310,calama,-22.4667,-68.9333,280.42,33,0,7.2,CL,1700718158
311,san patricio,28.017,-97.5169,286.39,46,100,2.91,US,1700718158
312,side,36.7667,31.3885,289.96,61,22,1.49,TR,1700718158
313,yanchep,-31.55,115.6833,313.12,30,25,2.96,AU,1700718158
314,kirakira,-10.4544,161.9205,298.89,92,100,3.43,SB,1700718158
315,sorong,-0.8833,131.25,302.93,69,95,4.14,ID,1700718158
316,kardla,58.9978,22.7492,276.51,100,75,1.54,EE,1700718158
317,yuzhno-kurilsk,44.0306,145.8556,282.8,65,99,7.19,RU,1700718159
318,freeport,40.6576,-73.5832,284.81,84,100,2.57,US,1700718159
319,nikolayevsk-on-amure,53.1406,140.73,261.03,77,100,2.75,RU,1700718159
320,kingston,17.997,-76.7936,300.68,85,75,2.57,JM,1700718011
321,puerto baquerizo moreno,-0.9,-89.6,297.45,79,70,4.76,EC,1700718010
322,al faw,29.9776,48.4741,286.15,39,99,5.39,IQ,1700718159
323,moundou,8.5667,16.0833,298.33,40,80,1.02,TD,1700718159
324,nzega,-2.479,29.5564,289.17,87,100,0.96,RW,1700718159
325,kaspiyskiy,45.3929,47.3707,272.54,96,100,4.64,RU,1700718159
326,maxixe,-23.8597,35.3472,302.05,65,0,2.06,MZ,1700718159
327,karratha,-20.7377,116.8463,309.86,23,0,6.71,AU,1700718159
328,inda silase,14.1031,38.2829,293.47,54,60,5.83,ET,1700718160
329,nili,33.7218,66.1302,281.5,26,9,3.03,AF,1700718160
330,saipan,15.1355,145.701,303.54,70,40,8.23,MP,1700718160
331,dryden,49.7833,-92.7503,263.31,67,20,3.09,CA,1700718160
332,hadithah,34.1397,42.3781,287.29,38,100,2.54,IQ,1700718160
333,ola,59.5833,151.2833,257.12,79,100,4.94,RU,1700718160
334,monte alegre,-2.0078,-54.0692,298.67,82,80,2.27,BR,1700718160
335,stephenville,32.2207,-98.2023,282.59,70,0,0.0,US,1700717960
336,sassandra,4.95,-6.0833,298.13,92,53,1.42,CI,1700718160
337,aksu,41.1231,80.2644,280.54,20,30,0.56,CN,1700717959
338,lerwick,60.1545,-1.1494,281.15,67,91,17.55,GB,1700718160
339,manaure,11.7751,-72.4445,299.78,82,67,2.58,CO,1700718160
340,zhezqazghan,47.7833,67.7667,272.47,86,100,12.0,KZ,1700718161
341,soligalich,59.0778,42.2864,260.55,96,98,1.81,RU,1700718161
342,arteche,12.2645,125.4048,301.86,84,40,2.06,PH,1700718161
343,wangaratta,-36.3667,146.3333,306.19,29,56,3.35,AU,1700718161
344,la ronge,55.1001,-105.2842,256.29,71,75,2.57,CA,1700718161
345,crumlin,54.6243,-6.2156,285.24,93,100,10.29,GB,1700718161
346,maua,-23.6678,-46.4614,299.04,73,82,2.39,BR,1700718161
347,wickenburg,33.9686,-112.7296,286.02,22,3,2.05,US,1700718161
348,sola,-13.8833,167.55,299.75,70,69,7.19,VU,1700718161
349,ciudad acuna,29.3232,-100.9522,282.31,57,0,0.0,MX,1700718161
350,varna,43.2167,27.9167,278.23,87,100,1.54,BG,1700718051
351,smithers,54.7804,-127.1743,273.33,100,100,1.03,CA,1700718162
352,dieppe,49.75,1.1667,283.72,92,91,0.89,FR,1700718162
353,lindale,32.5157,-95.4094,279.05,88,0,0.0,US,1700718162
354,selfoss,63.9331,-20.9971,273.72,65,58,7.59,IS,1700718162
355,argo,37.6333,22.7333,289.7,83,100,1.13,GR,1700718162
356,hailey,43.5196,-114.3153,275.26,74,100,1.79,US,1700718162
357,acara,-1.9608,-48.1967,295.86,99,89,1.09,BR,1700718162
358,weno,7.4515,151.8468,304.12,74,40,3.6,FM,1700718162
359,chimoio,-19.1164,33.4833,297.07,83,20,2.5,MZ,1700718095
360,fale old settlement,-9.3852,-171.2468,301.93,76,61,5.01,TK,1700718162
361,kununurra,-15.7667,128.7333,299.14,78,100,1.03,AU,1700718162
362,kani keli,-12.9536,45.1033,301.74,72,64,5.44,YT,1700718163
363,akureyri,65.6835,-18.0878,272.11,74,100,5.14,IS,1700718163
